Standort,Raum,ap,apmodel,status,Institut,address,category,extra,latlng,geocoding,location
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,L00.001,apa07-0iv,Alcatel-Lucent -> OAW-AP325,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,L01.001,apa02-1iv,Alcatel-Lucent -> OAW-AP325,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,L01.001,apa01-1iv,Alcatel-Lucent -> OAW-AP325,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,L00.001,apa08-0iv,Alcatel-Lucent -> OAW-AP325,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,Stu-Bistro,apa01-0iv,Alcatel-Lucent -> OAW-AP365,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,Stu-Bistro,apa04-0iv,Alcatel-Lucent -> OAW-AP365,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,Stu-Bistro,apa05-0iv,Alcatel-Lucent -> OAW-AP365,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,Stu-Bistro,apa03-0iv,Alcatel-Lucent -> OAW-AP365,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,Stu-Bistro,apa02-0iv,Alcatel-Lucent -> OAW-AP365,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
"TUM, Geb. 2920Gabelsbergerstr. 4780333 München",208,apa01-2bw,Alcatel-Lucent -> OAW-AP325,2019-11-05 07:49:00,TUM,"Gabelsbergerstr. 47, 80333 München",office,0203,"('48.147834454', '11.5666762848')","(48.147869, 11.566515)","('48.147834454', '11.5666762848')"
"TUM, Geb. 2920Gabelsbergerstr. 4780333 München",-002,apa01-kbw,Alcatel-Lucent -> OAW-AP325,2019-07-30 11:51:00,TUM,"Gabelsbergerstr. 47, 80333 München",office,0203,"('48.147834454', '11.5666762848')","(48.147869, 11.566515)","('48.147834454', '11.5666762848')"
"TUM, Geb. 2920Gabelsbergerstr. 4780333 München",110,apa01-1bw,Alcatel-Lucent -> OAW-AP325,2019-11-05 07:39:00,TUM,"Gabelsbergerstr. 47, 80333 München",office,0203,"('48.147834454', '11.5666762848')","(48.147869, 11.566515)","('48.147834454', '11.5666762848')"
"TUM, Geb. 2920Gabelsbergerstr. 4780333 München",010,apa01-0bw,Alcatel-Lucent -> OAW-AP325,2019-07-30 11:51:00,TUM,"Gabelsbergerstr. 47, 80333 München",office,0203,"('48.147834454', '11.5666762848')","(48.147869, 11.566515)","('48.147834454', '11.5666762848')"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem.Raum R2.088, 2.OG, HeÃstr., HM",apa09-2rr,Alcatel-Lucent -> OAW-AP135,2019-09-09 10:10:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","R1.012, 1.OG, Hesstr., HM",apa09-1rr,Alcatel-Lucent -> OAW-AP135,2019-09-09 15:19:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem.Raum R2.006, 2.OG, HM HeÃstr.",apa04-2rr,Alcatel-Lucent -> OAW-AP135,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R3.072,apa19-3rr,Alcatel-Lucent -> OAW-AP325,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem.Raum BG.023 vor BG.009, BG, HM HeÃsstr.",apa02-krr,Alcatel-Lucent -> OAW-AP303h,2019-09-06 19:09:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem.-Raum R BG.052, BG, HM HeÃstr.",apa03-krr,Alcatel-Lucent -> OAW-AP325,2019-08-07 09:55:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","R4.067, 4.OG, Hessstr., HM",apa07-4rr,Alcatel-Lucent -> OAW-AP325,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R 0.105 Praktikum,apa29-0rr,Alcatel-Lucent -> OAW-AP325,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R.2.073,apa22-2rr,Alcatel-Lucent -> OAW-AP325,2019-08-07 09:55:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","HM Hessstr., 3.OG, Raum R3.012",apa03-3rr,Alcatel-Lucent -> OAW-AP135,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R 3.020 Hoersaal,apa25-3rr,Alcatel-Lucent -> OAW-AP325,2019-11-12 14:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R.1.010a Labor,apa31-1rr,Alcatel-Lucent -> OAW-AP325,2019-09-09 09:49:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","R.1.134, Galerie vor Raum PQ K42",apa33-1rr,Alcatel-Lucent -> OAW-AP325,2019-10-29 14:19:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Hoersaal R1.007, 1.OG, Hessstr., HM",apa21-1rr,Alcatel-Lucent -> OAW-AP135,2019-08-21 09:49:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","HS R 2.004, 2.OG",apa17-2rr,Alcatel-Lucent -> OAW-AP135,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","HS R 1.083, 1.OG",apa27-1rr,Alcatel-Lucent -> OAW-AP135,2019-09-09 15:19:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R 4.001 Buero,apa13-4rr,Alcatel-Lucent -> OAW-AP303h,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",HS R0.093,apa27-0rr,Alcatel-Lucent -> OAW-AP325,2019-08-21 10:09:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R2.008,apa14-2rr,Alcatel-Lucent -> OAW-AP325,2019-08-21 10:29:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R3.100,apa12-3rr,Alcatel-Lucent -> OAW-AP325,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R3.102,apa13-3rr,Alcatel-Lucent -> OAW-AP325,2019-11-11 16:19:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",BG.004,apa11-krr,Alcatel-Lucent -> OAW-AP325,2019-09-09 16:25:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","HS R 4.078, 4.OG",apa09-4rr,Alcatel-Lucent -> OAW-AP135,2019-09-09 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R 4.005 Buero,apa14-4rr,Alcatel-Lucent -> OAW-AP303h,2019-08-07 09:55:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","HM, HeÃstr., 1.OG, HÃ¶rsaal R-1.049",apa08-1rr,Alcatel-Lucent -> OAW-AP325,2019-08-21 10:09:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","0.059, EG, Hessstr., HM",apa22-0rr,Alcatel-Lucent -> OAW-AP135,2019-09-09 15:10:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","R0.078, EG, Hessstr., Hochschule MÃ¼nchen",apa17-0rr,Alcatel-Lucent -> OAW-AP325,2019-08-21 10:09:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R.3.086,apa22-3rr,Alcatel-Lucent -> OAW-AP325,2019-11-05 12:07:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R.0.101 Labor,apa30-0rr,Alcatel-Lucent -> OAW-AP325,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",Sem. Raum R1.003,apa03-1rr,Alcatel-Lucent -> OAW-AP325,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R.2.077,apa23-2rr,Alcatel-Lucent -> OAW-AP325,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R 4.027,apa04-4rr,Alcatel-Lucent -> OAW-AP303h,2019-08-21 09:49:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R.0.005 Hoersaal,apa31-0rr,Alcatel-Lucent -> OAW-AP325,2019-08-21 09:49:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","R.0.067, Fachschaftsraum",apa26-0rr,Alcatel-Lucent -> OAW-AP135,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","R.4017, Buero",apa15-4rr,Alcatel-Lucent -> OAW-AP325,2019-10-15 21:30:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem. Raum R 1.057, 1.OG, Hessstr., HM",apa17-1rr,Alcatel-Lucent -> OAW-AP325,2019-09-06 18:49:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem. Raum R 1.097, 1.OG, Hessstr., HM",apa24-1rr,Alcatel-Lucent -> OAW-AP135,2019-09-06 17:49:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem.Raum BG089, Basisgeschoss, HeÃstr., HM",apa04-krr,Alcatel-Lucent -> OAW-AP135,2019-10-28 08:05:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","TÃ¼r 514, Lothstr. 64, HM",apa10-1rr,Alcatel-Lucent -> OAW-AP325,2019-10-15 21:39:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem.Raum R4.068, 4.OG, HM HeÃstr.",apa03-4rr,Alcatel-Lucent -> OAW-AP135,2019-09-06 17:19:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","HM HeÃsstr., 2.OG, Raum R2.009",apa06-2rr,Alcatel-Lucent -> OAW-AP325,2019-09-06 17:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem.Raum R1.087, 1.OG, HeÃstr., HM",apa11-1rr,Alcatel-Lucent -> OAW-AP135,2019-09-06 17:39:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem.Raum R0.001, EG, HM HeÃstr.",apa01-0rr,Alcatel-Lucent -> OAW-AP135,2019-09-09 10:09:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",HS R3.089,apa18-3rr,Alcatel-Lucent -> OAW-AP325,2019-08-21 10:09:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem.Raum R2.005, 2.OG, HM Lothstr. 64",apa03-2rr,Alcatel-Lucent -> OAW-AP135,2019-09-06 17:29:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","R.TG.21, UG, HM HeÃstr.",apa06-krr,Alcatel-Lucent -> OAW-AP303h,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R2.067,apa21-2rr,Alcatel-Lucent -> OAW-AP325,2019-08-21 10:20:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R 1.121 Buero,apa38-1rr,Alcatel-Lucent -> OAW-AP325,2019-10-15 21:30:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","HM HeÃstr. , GebÃ¤ude R, Pforte fÃ¼r Eingangshalle",apa03-0rr,Alcatel-Lucent -> OAW-AP135,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R3.024,apa09-3rr,Alcatel-Lucent -> OAW-AP325,2019-08-21 10:29:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","R3.017, 3.OG, Hessstr., HM",apa14-3rr,Alcatel-Lucent -> OAW-AP135,2019-09-06 17:29:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R 1.119 Besprechungsraum,apa37-1rr,Alcatel-Lucent -> OAW-AP325,2019-10-15 21:30:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",Pforte vor rotem WÃ¼rfel,apa34-0rr,Alcatel-Lucent -> OAW-AP365,2019-08-07 09:55:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","R3.021, 3.OG, Hesstr., HM",apa06-3rr,Alcatel-Lucent -> OAW-AP135,2019-09-06 16:29:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem.Raum R1.084, 1.OG, HeÃstr., HM",apa12-1rr,Alcatel-Lucent -> OAW-AP135,2019-09-06 18:09:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","R2.018, 2.OG, Hessstr.",apa16-2rr,Alcatel-Lucent -> OAW-AP135,2019-09-06 17:29:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R5.028,apa05-5rr,Alcatel-Lucent -> OAW-AP303h,2019-09-06 18:49:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","HS R 1.086, 1.OG",apa28-1rr,Alcatel-Lucent -> OAW-AP135,2019-09-09 15:19:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","0.062, EG, Hessstr., HM",apa23-0rr,Alcatel-Lucent -> OAW-AP135,2019-09-09 10:19:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem.Raum B094, Basisgeschoss, HeÃstr., HM",apa05-krr,Alcatel-Lucent -> OAW-AP325,2019-11-14 08:19:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",Raum 2.093,apa19-2rr,Alcatel-Lucent -> OAW-AP215,2019-10-15 21:39:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R4.044,apa11-4rr,Alcatel-Lucent -> OAW-AP325,2019-08-07 09:55:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R1.114,apa14-1rr,Alcatel-Lucent -> OAW-AP325,2019-10-15 21:30:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","0.013, EG, Hessstr., HM",apa21-0rr,Alcatel-Lucent -> OAW-AP135,2019-09-06 17:19:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R 1.056 Betriebsrat,apa34-1rr,Alcatel-Lucent -> OAW-AP325,2019-10-15 21:39:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","R.5.010, 5.OG, Hessstr., HM",apa01-5rr,Alcatel-Lucent -> OAW-AP303h,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R 1.113 Buero,apa36-1rr,Alcatel-Lucent -> OAW-AP325,2019-10-15 21:30:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R BG.016 Labor,apa10-krr,Alcatel-Lucent -> OAW-AP325,2019-10-15 21:39:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","R2.016, 2.OG, Hessstr., HM",apa07-2rr,Alcatel-Lucent -> OAW-AP135,2019-09-06 16:25:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",BG.094,apa12-krr,Alcatel-Lucent -> OAW-AP325,2019-08-21 10:20:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R3.015,apa05-3rr,Alcatel-Lucent -> OAW-AP135,2019-09-09 10:09:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","HS R 2.089, 2.OG",apa18-2rr,Alcatel-Lucent -> OAW-AP135,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem.Raum R1.001, 1.OG, HM HeÃstr.",apa02-1rr,Alcatel-Lucent -> OAW-AP135,2019-09-06 17:19:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","HS R 0.002, EG",apa24-0rr,Alcatel-Lucent -> OAW-AP135,2019-11-04 11:46:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R BG.095,apa09-krr,Alcatel-Lucent -> OAW-AP325,2019-09-09 15:19:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R 1.108 Buero,apa35-1rr,Alcatel-Lucent -> OAW-AP325,2019-10-15 21:30:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
